workerId,ITEM_ID,ITEM_FUNCTION,ITEM_SUBGROUP,TYPE,OBJform,P,comment,ANSWER,ANSWER_POSITION,OPTION_0_ITEM,OPTION_1_ITEM,OPTION_0_KEY_CONDITION,OPTION_1_KEY_CONDITION,date_time_begin,date_time_end,rt,trial_index
505,f34,calibration,unrelated,,,,PO_position,accept,below,"Ich habe gehört, dass Lea sich bei Max gemeldet hat. Warum genau, weiß ich aber nicht.","Ich habe gehört, dass Lea bei Max sich gemeldet hat. Warum genau, weiß ich aber nicht.",accept,?,18:16:17,18:16:26,8513,0
505,f25,calibration,unrelated,,,,ADV_position,accept,above,"Kim hat erzählt, dass sie sich gerade unglaublich zusammenreißen musste. Warum genau, weiß ich aber nicht.","Kim hat erzählt, dass sie sich unglaublich gerade zusammenreißen musste. Warum genau, weiß ich aber nicht.",accept,?,18:16:26,18:16:33,7694,1
505,f44,calibration,unrelated,,,,PO_position,accept,above,"Ben hat erzählt, dass sein Sohn einigen Nachbarn auf die Nerven gegangen ist. Ob ihn das stört, weiß ich aber nicht.","Ben hat erzählt, dass sein Sohn auf die Nerven einigen Nachbarn gegangen ist. Ob ihn das stört, weiß ich aber nicht.",accept,*,18:16:33,18:16:44,10377,2
505,f36,calibration,unrelated,,,,REFL_position,accept,below,"Ich habe gehört, dass Pia sich für ihre Verhaltensweise geschämt hat. Was genau vorgefallen ist, weiß ich aber nicht.","Ich habe gehört, dass sich Pia für ihre Verhaltensweise geschämt hat. Was genau vorgefallen ist, weiß ich aber nicht.",accept,?,18:16:44,18:16:56,12235,3
505,f26,calibration,unrelated,,,,REFL_position,accept,below,"Jan hat versprochen, dass er sich beeilt. Ich hoffe, er schafft es rechtzeitig.","Jan hat versprochen, dass sich er beeilt. Ich hoffe, er schafft es rechtzeitig.",accept,*,18:16:56,18:17:07,11164,4
505,f18,calibration,pseudo_windef,,,,SUBJ_position,accept,above,"Weißt du vielleicht, was Tim gerade eben aus dem Fenster geschmissen hat? Ich hoffe, es war kein Blumentopf.","Weißt du vielleicht, was gerade eben aus dem Fenster geschmissen Tim hat? Ich hoffe, es war kein Blumentopf.",accept,*,18:17:07,18:17:18,10566,5
505,f48,attention,unrelated,,,,V_position,accept,below,"Ich habe mitbekommen, dass der Clown die Zirkusbesucher gelangweilt hat. Ich hoffe, dass sie den Abend trotzdem genossen haben.","Ich habe mitbekommen, dass der Clown die Zirkusbesucher gelangweilt hat. Ich hoffe, dass sie den Abend genossen trotzdem haben.",accept,*,18:17:18,18:17:25,7140,6
505,f28,filler,unrelated,,,,REFL_position,accept,below,"Eva hat erzählt, dass sie sich in der Mittagspause ganz plötzlich übergeben musste. Warum, weiß sie aber auch nicht.","Eva hat erzählt, dass sie in der Mittagspause ganz plötzlich übergeben musste sich. Warum, weiß sie aber auch nicht.",accept,*,18:17:36,18:17:44,8143,8
505,f22,filler,pseudo_windef,,,,ADV_position,accept,above,"Weißt du vielleicht, wen Lea gerade angerufen hat? Ich hoffe, dass es keine teure Hotline war.","Weißt du vielleicht, wen Lea angerufen hat gerade? Ich hoffe, dass es keine teure Hotline war.",accept,?,18:17:51,18:18:03,12024,10
505,f41,filler,unrelated,,,,PO_position,accept,below,"Tim hat erzählt, dass er Uwe mit seiner unkonventionellen Art beeindruckt hat. Was genau passiert ist, weiß ich aber nicht.","Tim hat erzählt, dass er mit seiner unkonventionellen Art Uwe beeindruckt hat. Was genau passiert ist, weiß ich aber nicht.",accept,?,18:18:12,18:18:21,9498,12
505,f46,filler,unrelated,,,,SUBJ_position,accept,above,"Ich habe mitbekommen, dass der Beschluss die Bürger aufgewühlt hat. Ich hoffe, dass sich die Gemüter schnell wieder beruhigen.","Ich habe mitbekommen, dass die Bürger der Beschluss aufgewühlt hat. Ich hoffe, dass sich die Gemüter schnell wieder beruhigen.",accept,?,18:18:36,18:18:45,9062,14
505,f33,filler,unrelated,,,,REFL_position,accept,above,"Ich habe gehört, dass Uwe sich für einen Ausbildungsberuf entschieden hat. Für welchen genau, weiß ich aber nicht.","Ich habe gehört, dass sich Uwe für einen Ausbildungsberuf entschieden hat. Für welchen genau, weiß ich aber nicht.",accept,?,18:18:54,18:19:03,8923,16
505,f47,filler,unrelated,,,,V_position,accept,above,"Ich habe mitbekommen, dass der Problemschüler die Lehrer erstaunt hat. Ich hoffe, dass er doch noch versetzt wird.","Ich habe mitbekommen, dass der Problemschüler erstaunt die Lehrer hat. Ich hoffe, dass er doch noch versetzt wird.",accept,*,18:19:12,18:19:20,7874,18
505,f21,attention,pseudo_windef,,,,V_position,accept,above,"Kannst du mir sagen, wen Kai am Samstag in die Oper begleitet hat? Ich hoffe, dass es eine nette Dame war.","Kannst du mir sagen, wen Kai am Samstag in die Oper begleitet hat? Ich hoffe, dass eine nette Dame es war.",accept,*,18:19:29,18:19:43,13449,20
505,f40,attention,unrelated,,,,SUBJ_position,accept,above,"Ich habe gehört, dass Tim sich in einen Mann verliebt hat. Wie er das seiner Frau beibringen will, weiß ich aber nicht.","Ich habe gehört, dass Tim sich in einen Mann verliebt hat. Wie das er seiner Frau beibringen will, weiß ich aber nicht.",accept,*,18:19:49,18:20:08,19634,22
505,f31,attention,unrelated,,,,SUBJ_position,accept,below,"Isa hat versprochen, dass sie sich während der Diät täglich wiegt. Ich hoffe, dass sie ihr Wunschgewicht erreicht.","Isa hat versprochen, dass sie sich während der Diät täglich wiegt. Ich hoffe, dass ihr Wunschgewicht sie erreicht.",accept,*,18:20:20,18:20:29,9284,24
505,f24,attention,pseudo_windef,,,,V_position,accept,below,"Kannst du mir sagen, was Max zum Tatzeitpunkt gemacht hat? Ich hoffe, er hat ein gutes Alibi.","Kannst du mir sagen, was Max zum Tatzeitpunkt gemacht hat? Ich hoffe, er ein gutes Alibi hat.",accept,*,18:20:40,18:20:59,18708,26
505,f06,control,related,,,,order_SUBJ_OBJfix,accept,below,"Ich habe gehört, dass der Trödler was an den Mann gebracht hat. Was es war, weiß ich aber nicht.","Ich habe gehört, dass was der Trödler an den Mann gebracht hat. Was es war, weiß ich aber nicht.",accept,*,18:20:59,18:21:18,19744,27
505,f45,attention,unrelated,,,,SUBJ_position,accept,above,"Kai hat erzählt, dass der neue Mitarbeiter ihn anwidert. Wie lange er das noch aushält, weiß ich aber nicht.","Kai hat erzählt, dass der neue Mitarbeiter ihn anwidert. Wie lange das noch aushält er, weiß ich aber nicht.",accept,*,18:21:28,18:21:38,10177,29
505,f38,filler,unrelated,,,,PO_position,accept,above,"Ich habe mitbekommen, dass Kai sich bei der Stadt beworben hat. Ob er gute Chancen hat, weiß ich aber nicht.","Ich habe mitbekommen, dass Kai bei der Stadt sich beworben hat. Ob er gute Chancen hat, weiß ich aber nicht.",accept,?,18:21:53,18:22:08,14530,31
505,f23,filler,pseudo_windef,,,,ADV_position,accept,above,"Weißt du vielleicht, wen Tim heute morgen verhaftet hat? Ich hoffe, es war kein Unschuldiger.","Weißt du vielleicht, wen Tim verhaftet hat heute morgen? Ich hoffe, es war kein Unschuldiger.",accept,?,18:22:17,18:22:28,10664,33
505,f15,control,unrelated,,,,order_SUBJ_OBJ,accept,above,"Pia hat erzählt, dass sie Zugverspätungen hasst. Ob sie oft betroffen ist, weiß ich aber nicht.","Pia hat erzählt, dass Zugverspätungen sie hasst. Ob sie oft betroffen ist, weiß ich aber nicht.",accept,*,18:22:28,18:22:36,7925,34
